cod_unic_pess,nome_pess,cod_stat_pessoa,data_hora_update
9e58a8c4-98e9-4771-a050-d2926f20db4f,Maria Vitória Andrade,2,2025-02-12 23:43:07
dbb265f9-1340-431f-be8c-ddf8e1760764,Pedro Azevedo,1,2025-02-12 23:43:07
7d404d36-82d4-411e-b143-2e90fb145aa4,Luana Rios,7,2025-02-12 23:43:07
9424568e-a4b5-46ba-906f-b5f77300e011,Guilherme Gonçalves,1,2025-02-12 23:43:07
d964d561-1ca2-4e9e-9a49-d6ea9ba81325,Anna Liz Sampaio,9,2025-02-12 23:43:07
810f96f2-bc94-4312-b419-6a38344c2895,Ian Cassiano,7,2025-02-12 23:43:07
553f2bad-21f9-4c29-b021-f3c47cadac2e,Benício Jesus,5,2025-02-12 23:43:07
59540c71-cefc-42a6-9eda-686dbc89953f,João Vitor Castro,2,2025-02-12 23:43:07
623464f3-0418-496e-b557-b7b1536e847d,Melina Rocha,4,2025-02-12 23:43:07
fad7cc7c-932a-450d-9244-74f79ba38f41,Luna Barbosa,9,2025-02-12 23:43:07
1a79861e-60ec-48f8-ae3d-573d85f30136,Ester Nogueira,7,2025-02-12 23:43:07
c27ea937-7552-4d7c-84e4-439c80ac89bf,Antonella Leão,2,2025-02-12 23:43:07
442d327a-e88f-40c1-a84b-a79f33cde8dc,Yan Gomes,9,2025-02-12 23:43:07
7e396ee9-f077-46f2-95aa-244fc57de286,Sra. Bruna Almeida,3,2025-02-12 23:43:07
86714f21-cb1c-4997-b8f6-c1fd9a0b81d0,José da Rocha,2,2025-02-12 23:43:07
33e3be98-cdd3-47d9-a60d-75fb8f3ab5f8,Levi da Mota,2,2025-02-12 23:43:07
fd47c07f-811b-41ff-a1be-5b8dcd1934a8,Isis Leão,1,2025-02-12 23:43:07
a0914e77-4537-4593-b679-cdd786ade1a3,Bruno Mendonça,5,2025-02-12 23:43:07
faac5e2b-f1ec-42f0-bf16-08b532f2e207,Lavínia Almeida,8,2025-02-12 23:43:07
938059e5-3399-4ba1-b73c-721f1607060b,Maria Luísa Cirino,1,2025-02-12 23:43:07
addf4830-4256-4b5d-9d5d-75071e8a41b2,Stella Andrade,2,2025-02-12 23:43:07
459780be-1e4c-463f-92c4-4af8c2a9a418,Srta. Aurora Ferreira,7,2025-02-12 23:43:07
a1f33117-1231-437e-8c5a-df1a55efbe34,Beatriz das Neves,5,2025-02-12 23:43:07
4ad3fc31-0644-4b85-82d8-82aa01fb902b,Arthur Gabriel Mendes,9,2025-02-12 23:43:07
b32f80b5-afe0-44d4-821a-6e4c8d32f5b8,Thales Cassiano,3,2025-02-12 23:43:07
2502bdc3-2002-496a-b232-52047fc5304d,Luan Aragão,5,2025-02-12 23:43:07
6051fd83-3ab2-4417-b71b-b0f6eac2821d,Lívia Barbosa,4,2025-02-12 23:43:07
d235d566-9718-4723-9031-8d81e12f62ea,Matheus Moraes,9,2025-02-12 23:43:07
4314a0f0-08e4-499f-9de8-c0b9b1638953,Bryan da Paz,8,2025-02-12 23:43:07
217072c3-d6b5-41ec-8ed1-45c1d9b07738,Ana Júlia Alves,5,2025-02-12 23:43:07
7bc2aeb2-b708-47a3-a206-43fd219248b3,Dr. Théo Guerra,8,2025-02-12 23:43:07
748fad5a-8811-472a-a30f-09b377975822,Benício Pereira,1,2025-02-12 23:43:07
7f7fbd8b-55c9-4f8a-8dd2-8862b07bdebb,Raul Pimenta,3,2025-02-12 23:43:07
c66b20ee-8505-4b90-864b-3a843e20f39d,Raquel Almeida,6,2025-02-12 23:43:07
68718d82-37af-4338-b4a6-74689aeeaae7,Lucas Gabriel Ribeiro,8,2025-02-12 23:43:07
